sku,shopifyId,newBrand,newTitle
GA-MOAM-SWET-2X,8167240499379,Gibson,Gibson Gives x MusiCares: Music on a Mission Sweatshirt
GA-MOAM-HOOD-SM,8167245840563,Gibson,Gibson Gives x MusiCares: Music on a Mission Hoodie
GA-MOAM-HOOD-MD,8167245676723,Gibson,Gibson Gives x MusiCares: Music on a Mission Hoodie
GA-MOAM-HOOD-LG,8167241351347,Gibson,Gibson Gives x MusiCares: Music on a Mission Hoodie
GA-MOAM-HOOD-XL,8167241253043,Gibson,Gibson Gives x MusiCares: Music on a Mission Hoodie
GA-MOAM-HOOD-2X,8167241187507,Gibson,Gibson Gives x MusiCares: Music on a Mission Hoodie
GA-SC-FLVTXS,8167254458547,Gibson,Gibson Flying V 'Formation' Tee
GA-SC-FLVTSM,8167254720691,Gibson,Gibson Flying V 'Formation' Tee
GA-SC-FLVTMD,8167254655155,Gibson,Gibson Flying V 'Formation' Tee
GA-SC-FLVTLG,8167254589619,Gibson,Gibson Flying V 'Formation' Tee
GA-SC-FLVTXL,8167254393011,Gibson,Gibson Flying V 'Formation' Tee
GA-SC-FLVT2X,8167254917299,Gibson,Gibson Flying V 'Formation' Tee
GA-SC-FLVT3X,8167255081139,Gibson,Gibson Flying V 'Formation' Tee
GA-MOAM-TEE-SM,8167241089203,Gibson,Gibson Gives x MusiCares: Music on a Mission Tee
GA-MOAM-TEE-MD,8167240990899,Gibson,Gibson Gives x MusiCares: Music on a Mission Tee
GA-MOAM-TEE-LG,8167240892595,Gibson,Gibson Gives x MusiCares: Music on a Mission Tee
GA-MOAM-TEE-XL,8167241023667,Gibson,Gibson Gives x MusiCares: Music on a Mission Tee
GA-MOAM-TEE-2X,8167240728755,Gibson,Gibson Gives x MusiCares: Music on a Mission Tee
GA-TEE-LBL-WHT-SM,8138529407155,Gibson,Gibson Acoustic Label Tee (Vintage White)
GA-TEE-LBL-WHT-MD,8138529505459,Gibson,Gibson Acoustic Label Tee (Vintage White)
GA-TEE-LBL-WHT-LG,8138529603763,Gibson,Gibson Acoustic Label Tee (Vintage White)
GA-TEE-LBL-WHT-XL,8138529177779,Gibson,Gibson Acoustic Label Tee (Vintage White)
GA-TEE-LBL-WHT-2X,8138529702067,Gibson,Gibson Acoustic Label Tee (Vintage White)
GA-TEE-LBL-WHT-3X,8138529800371,Gibson,Gibson Acoustic Label Tee (Vintage White)
